generation_id,created_at,cost_total,cost_web_search,cost_cache,cost_file_processing,byok_usage_inference,tokens_prompt,tokens_completion,tokens_reasoning,tokens_cached,model_permaslug,provider_name,variant,cancelled,streamed,user,finish_reason_raw,finish_reason_normalized,generation_time_ms,time_to_first_token_ms,app_name,api_key_name
gen-1766041139-4Ei4OVQL7dF1l52Pse55,2025-12-18 06:58:59.534,0,,,,0.000953,1211,116,0,0,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,false,true,,STOP,stop,1342,708,,GenEval
gen-1766041138-z8g493HwcuMJ8yEALkjD,2025-12-18 06:58:58.048,0,,,,0.000925,1166,114,0,0,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,false,true,,STOP,stop,1439,738,,GenEval
gen-1766041136-awsChANzgJAOqUejvtpU,2025-12-18 06:58:56.643,0,,,,0.001066,1347,131,0,0,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,false,true,,STOP,stop,1360,704,,GenEval
gen-1766041132-7M01obX6uaWTDS1EsKoZ,2025-12-18 06:58:52.654,0,,-0.00733,,0.030788,75061,196,0,16290,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,false,true,,STOP,stop,2910,1499,,GenEval
gen-1766041131-Le0qG85QUUa204W9QuoQ,2025-12-18 06:58:51.428,0,,,,0.000253,219,48,0,0,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,false,true,,STOP,stop,1163,1163,,GenEval
gen-1766041129-Clclra7Mf6xKZSFGm2Pp,2025-12-18 06:58:49.076,0,,,,0.001411,1185,273,0,0,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,false,true,,STOP,stop,2295,755,,GenEval
gen-1766041127-5C6UEXeW1W9c3wt64nVr,2025-12-18 06:58:47.622,0,,,,0.001075,1317,139,0,0,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,false,true,,STOP,stop,1391,639,,GenEval
gen-1766041126-jbmZVZM4c5B2WfWncwxC,2025-12-18 06:58:46.125,0,,,,0.000922,1155,115,0,0,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,false,true,,STOP,stop,1427,809,,GenEval
gen-1766041124-BjL4CYlbW86iTpozz6uT,2025-12-18 06:58:44.719,0,,,,0.00098,1378,97,0,0,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,false,true,,STOP,stop,1352,771,,GenEval
gen-1766041123-gAgSWIIheyTuxswLTxpR,2025-12-18 06:58:43.265,0,,,,0.000984,1140,138,0,0,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,false,true,,STOP,stop,1410,674,,GenEval
gen-1766041121-HcbbFminWdbAtz2AKxip,2025-12-18 06:58:41.641,0,,,,0.000951,1074,138,0,0,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,false,true,,STOP,stop,1556,698,,GenEval
gen-1766041120-msMwESSptcrkpzCgfCWV,2025-12-18 06:58:40.135,0,,,,0.000859,1028,115,0,0,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,false,true,,STOP,stop,1442,735,,GenEval
gen-1766041117-oiPxs1bp5cq97l2mFxCC,2025-12-18 06:58:37.406,0,,-0.00722,,0.003623,20380,218,0,16046,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,false,true,,STOP,stop,2638,1023,,GenEval
gen-1766041116-MXG9mJ3CQsoOqVNnFFQ7,2025-12-18 06:58:36.621,0,,,,0.000253,219,48,0,0,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,false,true,,STOP,stop,714,564,,GenEval
gen-1766041114-WyVNYApzN07u6j7twCQE,2025-12-18 06:58:34.243,0,,,,0.001411,1185,273,0,0,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,false,true,,STOP,stop,2326,762,,GenEval
gen-1766041112-1zBp7n37kzYKx4ihT81P,2025-12-18 06:58:32.761,0,,,,0.001075,1317,139,0,0,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,false,true,,STOP,stop,1425,665,,GenEval
gen-1766041111-UusdpJCxlmUaaQzK0neA,2025-12-18 06:58:31.209,0,,,,0.000922,1155,115,0,0,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,false,true,,STOP,stop,1495,820,,GenEval
gen-1766041109-4XqGlfnPUQ2skNSRgTQs,2025-12-18 06:58:29.819,0,,,,0.00098,1378,97,0,0,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,false,true,,STOP,stop,1310,802,,GenEval
gen-1766041108-JffLSBCw2pleAQSDoarp,2025-12-18 06:58:28.367,0,,,,0.000984,1140,138,0,0,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,false,true,,STOP,stop,1396,671,,GenEval
gen-1766041106-a9lXRWGeaS7HvoUHFeuG,2025-12-18 06:58:26.687,0,,,,0.000951,1074,138,0,0,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,false,true,,STOP,stop,1625,1136,,GenEval
gen-1766041105-qwGYxaW9UH7cvwZHDNvJ,2025-12-18 06:58:25.215,0,,,,0.000859,1028,115,0,0,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,false,true,,STOP,stop,1426,708,,GenEval
gen-1766041102-q1kTiRnJZdYDZEVpDSsT,2025-12-18 06:58:22.244,0,,-0.00722,,0.003722,20380,251,0,16046,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,false,true,,STOP,stop,2879,1062,,GenEval
gen-1766041101-CerwQuD3Q3tbyi2OueyJ,2025-12-18 06:58:21.290,0,,,,0.000253,219,48,0,0,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,false,true,,STOP,stop,891,696,,GenEval
gen-1766041098-fAQSBTniaxrvn2dY5AEF,2025-12-18 06:58:18.771,0,,,,0.001411,1185,273,0,0,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,false,true,,STOP,stop,2471,829,,GenEval
gen-1766041097-3dpwmQeXW0xpjt7Zx1f2,2025-12-18 06:58:17.170,0,,,,0.001075,1317,139,0,0,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,false,true,,STOP,stop,1545,768,,GenEval
gen-1766041095-oe1zGJEdcT57x6sdRa3m,2025-12-18 06:58:15.787,0,,,,0.000922,1155,115,0,0,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,false,true,,STOP,stop,1333,741,,GenEval
gen-1766041094-WcKCwzyQMfFlQ7hMiuxp,2025-12-18 06:58:14.593,0,,,,0.00098,1378,97,0,0,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,false,true,,STOP,stop,1150,786,,GenEval
gen-1766041093-xNx4JOJlatPi34iee0GJ,2025-12-18 06:58:13.123,0,,,,0.000984,1140,138,0,0,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,false,true,,STOP,stop,1421,734,,GenEval
gen-1766041091-LZmSrUsImFoDXDZp5UrQ,2025-12-18 06:58:11.518,0,,,,0.000951,1074,138,0,0,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,false,true,,STOP,stop,1548,702,,GenEval
gen-1766041090-6kuI9ByRS4R5KJtQjXW3,2025-12-18 06:58:09.985,0,,,,0.000859,1028,115,0,0,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,false,true,,STOP,stop,1416,707,,GenEval
gen-1766041086-rwmfj26a1UwRnsXvixbm,2025-12-18 06:58:06.538,0,,-0.00722,,0.003932,20380,321,0,16046,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,false,true,,STOP,stop,3363,1181,,GenEval
gen-1766041085-EIpn97YRBBMRMXeU9Q5k,2025-12-18 06:58:05.656,0,,,,0.000226,219,39,0,0,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,false,true,,STOP,stop,816,701,,GenEval
gen-1766041081-9mcoiKF30YCaP0PuhQSN,2025-12-18 06:58:01.578,0,,,,0.002571,1278,644,0,0,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,false,true,,STOP,stop,4027,731,,GenEval
gen-1766041077-39o2VBFanaFUpvrBLCXK,2025-12-18 06:57:57.561,0,,,,0.002598,1314,647,0,0,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,false,true,,STOP,stop,3964,692,,GenEval
gen-1766041076-6FHxYOihgEjn2QnI55Gb,2025-12-18 06:57:56.106,0,,,,0.001078,1316,140,0,0,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,false,true,,STOP,stop,1412,694,,GenEval
gen-1766041074-Nf1EjFo6EXynAOqGOJwD,2025-12-18 06:57:54.636,0,,,,0.001018,1287,125,0,0,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,false,true,,STOP,stop,1432,719,,GenEval
gen-1766041073-3sxI0uenANfi8WOAgFnF,2025-12-18 06:57:53.173,0,,,,0.001006,1274,123,0,0,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,false,true,,STOP,stop,1417,717,,GenEval
gen-1766041071-YpW4D54XZcPEqer2Ut50,2025-12-18 06:57:51.774,0,,,,0.001014,1284,124,0,0,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,false,true,,STOP,stop,1355,637,,GenEval
gen-1766041070-TPERuUdOBq5hVK1nA8Zs,2025-12-18 06:57:50.249,0,,,,0.00103,1244,136,0,0,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,false,true,,STOP,stop,1409,686,,GenEval
gen-1766041068-Kj7nMHRnxwYP9xKt11st,2025-12-18 06:57:48.741,0,,,,0.000967,1197,123,0,0,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,false,true,,STOP,stop,1457,751,,GenEval
gen-1766041067-6eIX4KTb4HokyCylAB4G,2025-12-18 06:57:47.305,0,,,,0.000967,1136,133,0,0,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,false,true,,STOP,stop,1390,661,,GenEval
gen-1766041065-GjU1qmbLu5uihc7k6uQ2,2025-12-18 06:57:45.891,0,,,,0.000926,1084,128,0,0,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,false,true,,STOP,stop,1369,646,,GenEval
gen-1766041064-G6DqWKPn4FgP5pM3Kk9m,2025-12-18 06:57:44.550,0,,,,0.000844,1034,109,0,0,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,false,true,,STOP,stop,1296,1146,,GenEval
gen-1766041063-58seELJllXD9knaiAEuB,2025-12-18 06:57:43.070,0,,,,0.001027,1244,135,0,0,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,false,true,,STOP,stop,1433,686,,GenEval
gen-1766041059-bkYr9QfubHQkwHMiDFrs,2025-12-18 06:57:39.731,0,,-0.007204,,0.002468,18458,148,0,16011,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,false,true,,STOP,stop,2174,1141,,GenEval
gen-1766041058-2NZbg3PT24F0DyFnQPMf,2025-12-18 06:57:38.816,0,,,,0.000226,219,39,0,0,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,false,true,,STOP,stop,845,739,,GenEval
gen-1766041056-ROpymiL9YCdLgLCfIMfL,2025-12-18 06:57:36.619,0,,,,0.001351,1209,249,0,0,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,false,true,,STOP,stop,2147,732,,GenEval
gen-1766041055-bQtSRL15BVVNtYz3F7Mw,2025-12-18 06:57:35.066,0,,,,0.001019,1198,140,0,0,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,false,true,,STOP,stop,1506,734,,GenEval
gen-1766041053-Gt5bmI2XHaCj4ZavC9qw,2025-12-18 06:57:33.642,0,,,,0.000888,1201,96,0,0,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,false,true,,STOP,stop,1373,829,,GenEval
gen-1766041051-Yd5OGsacQxh9IbdM8KJ5,2025-12-18 06:57:31.392,0,,,,0.001483,1208,293,0,0,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,false,true,,STOP,stop,2199,737,,GenEval
gen-1766041049-kR1ObIeFOiMR7jtQ3k1v,2025-12-18 06:57:29.210,0,,,,0.001509,1255,294,0,0,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,false,true,,STOP,stop,2133,742,,GenEval
gen-1766041044-SmMhP28YWaAgPsSnnA3B,2025-12-18 06:57:24.034,0,,,,0.002956,1329,764,0,0,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,false,true,,STOP,stop,5126,746,,GenEval
gen-1766041041-YNqDeTeO5nFv5HWMqYdU,2025-12-18 06:57:21.926,0,,,,0.001358,1132,264,0,0,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,false,true,,STOP,stop,2064,720,,GenEval
gen-1766041040-FDqYx9RJFXzV9qUr3m1o,2025-12-18 06:57:20.372,0,,,,0.000949,1076,137,0,0,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,false,true,,STOP,stop,1512,709,,GenEval
gen-1766041039-ywNo8Sr2IGt0nP3VPWeW,2025-12-18 06:57:19.054,0,,,,0.00082,1035,101,0,0,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,false,true,,STOP,stop,1261,649,,GenEval
gen-1766041037-WG2usxpgQBbOkeYIDq0p,2025-12-18 06:57:17.809,0,,,,0.000834,1068,100,0,0,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,false,true,,STOP,stop,1201,671,,GenEval
gen-1766041035-z4QoP0JnJwlAQwgqZ1GS,2025-12-18 06:57:15.134,0,,-0.007204,,0.002438,18458,138,0,16011,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,false,true,,STOP,stop,2135,1228,,GenEval
gen-1766041034-6mCgOcrO1jZQY4jqkkAt,2025-12-18 06:57:14.315,0,,,,0.000226,219,39,0,0,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,false,true,,STOP,stop,760,660,,GenEval
gen-1766041031-DCW64xompzQ0nuQmt0S3,2025-12-18 06:57:11.182,0,,,,0.002102,1882,387,0,0,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,false,true,,STOP,stop,3085,850,,GenEval
gen-1766041028-4mKCnXtGn3Gagq2dpOzL,2025-12-18 06:57:08.989,0,,,,0.001622,1744,250,0,0,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,false,true,,STOP,stop,2132,809,,GenEval
gen-1766041026-Vt35AILL8F5a7JUn8ZM2,2025-12-18 06:57:06.763,0,,,,0.001179,1494,144,0,0,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,false,true,,STOP,stop,1489,712,,GenEval
gen-1766041023-bA0tW4SPPQqeHp8DUB2p,2025-12-18 06:57:03.804,0,,,,0.001896,1117,446,0,0,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,false,true,,STOP,stop,2902,634,,GenEval
gen-1766041022-djxD78gpSDZ7HdW4GjaE,2025-12-18 06:57:02.239,0,,,,0.000949,1034,144,0,0,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,false,true,,STOP,stop,1509,848,,GenEval
gen-1766041020-3KXTWdK5QnpEzQEpjyT8,2025-12-18 06:57:00.971,0,,,,0.00087,1152,98,0,0,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,false,true,,STOP,stop,1212,674,,GenEval
gen-1766041017-gdfno41sHAVBzo7op0yl,2025-12-18 06:56:57.632,0,,,,0.009775,18458,182,0,0,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,false,true,,STOP,stop,2328,1174,,GenEval
gen-1766041016-NWNAUmppXMC28HUOISF3,2025-12-18 06:56:56.839,0,,,,0.000226,219,39,0,0,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,false,true,,STOP,stop,741,626,,GenEval
gen-1766041013-Q0q2TyBbZicWb0puuuJK,2025-12-18 06:56:53.249,0,,,,0.013782,25152,402,0,0,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,false,true,,STOP,stop,3478,1179,,GenEval
gen-1766041008-Mp30vNRe70E5Du706BMe,2025-12-18 06:56:48.833,0,,-0.001706,,0.002564,4973,595,0,3793,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,false,true,,STOP,stop,4369,702,,GenEval
gen-1766041007-Yz2yv5REffcsyXIICoHP,2025-12-18 06:56:47.892,0,,,,0.000253,219,48,0,0,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,false,true,,STOP,stop,883,723,,GenEval
gen-1766041005-K0iM7QWWSTCMCBiW1gCG,2025-12-18 06:56:45.520,0,,,,0.001411,1185,273,0,0,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,false,true,,STOP,stop,2324,770,,GenEval
gen-1766041003-UgvBGWmNLrdhrI44Vnhf,2025-12-18 06:56:43.907,0,,,,0.001075,1317,139,0,0,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,false,true,,STOP,stop,1559,797,,GenEval
gen-1766040999-nD1dG2d2QwUtg4KDpd3A,2025-12-18 06:56:39.589,0,,,,0.008979,15229,455,0,0,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,false,true,,STOP,stop,4259,1452,,GenEval
gen-1766040998-enaltXKfPDeBpw4e7qLc,2025-12-18 06:56:38.624,0,,,,0.000226,219,39,0,0,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,false,true,,STOP,stop,910,786,,GenEval
gen-1766040994-XnzfwW0AVqb2PAhbTfGk,2025-12-18 06:56:34.839,0,,,,0.007854,13225,414,0,0,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,false,true,,STOP,stop,3705,1364,,GenEval
gen-1766040991-z37FCyuR1yvcNg1O7uOv,2025-12-18 06:56:31.585,0,,-0.001709,,0.002079,5063,419,0,3798,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,false,true,,STOP,stop,3198,698,,GenEval
gen-1766040990-of84jY7qXlqUgJtP8kR4,2025-12-18 06:56:30.863,0,,,,0.000226,219,39,0,0,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,false,true,,STOP,stop,680,582,,GenEval
gen-1766040987-sfCaBlrd7C7VMn02hpVx,2025-12-18 06:56:27.656,0,,,,0.007284,12301,378,0,0,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,false,true,,STOP,stop,3141,1116,,GenEval
gen-1766040984-PBIWbaNPhb0klSAya31q,2025-12-18 06:56:24.765,0,,-0.001685,,0.001333,4262,296,0,3746,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,false,true,,STOP,stop,2832,788,,GenEval
gen-1766040983-1uh86ON2vKdkcW4kUzzk,2025-12-18 06:56:23.907,0,,,,0.000253,219,48,0,0,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,false,true,,STOP,stop,808,751,,GenEval
gen-1766040981-lCvhZhe5tWSmWn34UVKJ,2025-12-18 06:56:21.567,0,,,,0.001411,1185,273,0,0,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,false,true,,STOP,stop,2292,727,,GenEval
gen-1766040980-uTOYdSDwSGHUpQTrEyZS,2025-12-18 06:56:20.095,0,,,,0.001075,1317,139,0,0,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,false,true,,STOP,stop,1419,668,,GenEval
gen-1766040978-5VLji3JWgZCUrfk5Gs5t,2025-12-18 06:56:18.748,0,,,,0.000922,1155,115,0,0,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,false,true,,STOP,stop,1302,705,,GenEval
gen-1766040977-ZZsLmvxRYtTb4QiwzvV7,2025-12-18 06:56:17.506,0,,,,0.00098,1378,97,0,0,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,false,true,,STOP,stop,1188,690,,GenEval
gen-1766040976-ub3gqyRQACHuKPZ91alN,2025-12-18 06:56:16.103,0,,,,0.000984,1140,138,0,0,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,false,true,,STOP,stop,1362,773,,GenEval
gen-1766040973-ywdQQKJ0WMJzSPHlbqhu,2025-12-18 06:56:13.809,0,,-0.001688,,0.001189,4340,236,0,3752,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,false,true,,STOP,stop,2238,715,,GenEval
gen-1766040972-tahQiKJ1XOPtOsOPsq0N,2025-12-18 06:56:12.813,0,,,,0.000253,219,48,0,0,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,false,true,,STOP,stop,938,756,,GenEval
gen-1766040970-JYMIbLREZN7CkLqW2JR0,2025-12-18 06:56:10.499,0,,,,0.001411,1185,273,0,0,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,false,true,,STOP,stop,2267,684,,GenEval
gen-1766040969-hwomOET3wHytpngKhQcM,2025-12-18 06:56:08.997,0,,,,0.001075,1317,139,0,0,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,false,true,,STOP,stop,1448,759,,GenEval
gen-1766040967-HcY37AHrWZeSd19RiGS3,2025-12-18 06:56:07.493,0,,,,0.000922,1155,115,0,0,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,false,true,,STOP,stop,1449,968,,GenEval
gen-1766040966-i4DP7E0mtct0jxpZPPao,2025-12-18 06:56:06.308,0,,,,0.00098,1378,97,0,0,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,false,true,,STOP,stop,1135,632,,GenEval
gen-1766040964-qUn75v57Pd1PsSbU3FDJ,2025-12-18 06:56:04.745,0,,,,0.000984,1140,138,0,0,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,false,true,,STOP,stop,1498,786,,GenEval
gen-1766040963-npcJMnwoAnGUVW8bUorr,2025-12-18 06:56:03.079,0,,,,0.000951,1074,138,0,0,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,false,true,,STOP,stop,1601,797,,GenEval
gen-1766040956-7opcREu4tIC5dCOBG4KA,2025-12-18 06:55:56.528,0,,,,0.010103,15305,817,0,0,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,false,true,,STOP,stop,6423,1186,,GenEval
gen-1766040955-gAHxGm7bsIEcmNM59pZK,2025-12-18 06:55:55.782,0,,,,0.000226,219,39,0,0,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,false,true,,STOP,stop,682,586,,GenEval
gen-1766040951-62hJSnf9JepLwqPQUKau,2025-12-18 06:55:51.176,0,,,,0.00273,1284,696,0,0,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,false,true,,STOP,stop,4566,682,,GenEval
gen-1766040949-uPPCPMXsChaX10P3qJRL,2025-12-18 06:55:49.603,0,,,,0.001075,1263,148,0,0,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,false,true,,STOP,stop,1532,684,,GenEval
gen-1766040947-Ee7dN87yRr4rjIXgQZEY,2025-12-18 06:55:47.885,0,,,,0.001028,1259,133,0,0,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,false,true,,STOP,stop,1673,888,,GenEval
gen-1766040946-LvFkOyaeS6bY6N2V5x7J,2025-12-18 06:55:46.403,0,,,,0.001024,1245,134,0,0,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,false,true,,STOP,stop,1427,652,,GenEval
gen-1766040944-nqEFea3UmBdvCC9g8b22,2025-12-18 06:55:44.863,0,,,,0.001035,1249,137,0,0,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,false,true,,STOP,stop,1503,664,,GenEval
gen-1766040943-bKq2UXFpGSO3bdDvQ7tE,2025-12-18 06:55:43.190,0,,,,0.00109,1185,166,0,0,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,false,true,,STOP,stop,1626,743,,GenEval
gen-1766040941-U9iq3MY2dvmj0Hy5e5Dk,2025-12-18 06:55:41.687,0,,,,0.000958,1125,132,0,0,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,false,true,,STOP,stop,1444,658,,GenEval
gen-1766040939-M9C4xh0Lzi6Mi2nnfccW,2025-12-18 06:55:39.831,0,,,,0.000887,1084,115,0,0,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,false,true,,STOP,stop,1811,853,,GenEval
gen-1766040938-mnstCcM403QyP6LyFOw6,2025-12-18 06:55:38.523,0,,,,0.000844,1034,109,0,0,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,false,true,,STOP,stop,1270,806,,GenEval
gen-1766040936-2niZW4yCqujhHwQJyV1L,2025-12-18 06:55:36.843,0,,,,0.001024,1142,151,0,0,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,false,true,,STOP,stop,1633,836,,GenEval
gen-1766040932-XgkXaUyNqxninj0oBfjF,2025-12-18 06:55:32.898,0,,-0.001705,,0.002084,4946,439,0,3791,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,false,true,,STOP,stop,3570,1224,,GenEval
gen-1766040932-anOGN8vzctahhzPUqMV0,2025-12-18 06:55:32.165,0,,,,0.000226,219,39,0,0,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,false,true,,STOP,stop,673,570,,GenEval
gen-1766040928-3acKREvbVq1Z3fdyxME2,2025-12-18 06:55:28.819,0,,,,0.002206,1245,528,0,0,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,false,true,,STOP,stop,3305,718,,GenEval
gen-1766040926-il2EUtZlYJeYOlV84sED,2025-12-18 06:55:26.409,0,,,,0.001595,1228,327,0,0,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,false,true,,STOP,stop,2363,682,,GenEval
gen-1766040923-Q930O2TnqOhcPc0gieNP,2025-12-18 06:55:23.416,0,,,,0.001979,1270,448,0,0,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,false,true,,STOP,stop,2919,739,,GenEval
gen-1766040921-i2pORLWt7W3OevPiamr1,2025-12-18 06:55:21.929,0,,,,0.001014,1291,123,0,0,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,false,true,,STOP,stop,1430,665,,GenEval
gen-1766040920-WJUcSzJrKdvtemeI1Hgy,2025-12-18 06:55:20.274,0,,,,0.001115,1289,157,0,0,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,false,true,,STOP,stop,1614,703,,GenEval
gen-1766040918-HtNPHQtuFrGzXBFtf0ad,2025-12-18 06:55:18.777,0,,,,0.00101,1264,126,0,0,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,false,true,,STOP,stop,1457,680,,GenEval
gen-1766040917-MOOnwsmHwuXeIO45FnFN,2025-12-18 06:55:17.234,0,,,,0.001074,1218,155,0,0,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,false,true,,STOP,stop,1489,602,,GenEval
gen-1766040915-IzUdomPtpPwpBgnaINGI,2025-12-18 06:55:15.650,0,,,,0.000991,1161,137,0,0,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,false,true,,STOP,stop,1544,736,,GenEval
gen-1766040914-zaFe7CUY8myoTI6fcJ6M,2025-12-18 06:55:14.193,0,,,,0.000896,1115,113,0,0,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,false,true,,STOP,stop,1421,697,,GenEval
gen-1766040912-T7k7OhYhvf8j2307bRev,2025-12-18 06:55:12.546,0,,,,0.000933,1044,137,0,0,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,false,true,,STOP,stop,1593,818,,GenEval
gen-1766040911-lt8ibqZRMh4DHy8Rc6Tb,2025-12-18 06:55:11.224,0,,,,0.000942,1291,99,0,0,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,false,true,,STOP,stop,1264,747,,GenEval
gen-1766040905-hJmZaeSEcIKaQI688xv3,2025-12-18 06:55:05.730,0,,,,0.003116,4157,346,0,0,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,false,true,,STOP,stop,2738,724,,GenEval
gen-1766040904-5WpCxMLL392NN2RULLc5,2025-12-18 06:55:04.683,0,,,,0.000253,219,48,0,0,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,false,true,,STOP,stop,964,729,,GenEval
gen-1766040902-E1Tkh9rwyGdhb1L56n0X,2025-12-18 06:55:02.178,0,,,,0.001411,1185,273,0,0,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,false,true,,STOP,stop,2467,875,,GenEval
