generation_id,created_at,cost_total,cost_web_search,cost_cache,cost_file_processing,byok_usage_inference,tokens_prompt,tokens_completion,tokens_reasoning,tokens_cached,model_permaslug,provider_name,variant,cancelled,streamed,user,finish_reason_raw,finish_reason_normalized,generation_time_ms,time_to_first_token_ms,app_name,api_key_name
gen-1766188737-KwgYhtWzuJYbWNWqkd8w,2025-12-19 23:58:57.880,0,,,,0.002777,3653,317,0,0,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,false,true,,STOP,stop,2424,841,,GenEval
gen-1766188736-m0oGLKBKhfO24kl1wNL2,2025-12-19 23:58:56.444,0,,,,0.001092,1428,126,0,0,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,false,true,,STOP,stop,1317,723,,GenEval
gen-1766188734-BfcRcM1rmUQdqBG4hGhh,2025-12-19 23:58:54.159,0,,,,0.00064,537,124,0,0,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,false,true,,STOP,stop,1540,854,,GenEval
gen-1766188732-LChxIlPyDTQUgCzSCamU,2025-12-19 23:58:52.644,0,,,0,0.020532,4469,475,0,0,anthropic/claude-4.5-sonnet-20250929,Amazon Bedrock,standard,false,true,,tool_calls,tool_calls,6387,1745,,GenEval
gen-1766188730-ENCP81bHG8ksifXkppfK,2025-12-19 23:58:50.969,0,,-0.001712,,0.002132,5225,411,0,3806,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,false,true,,STOP,stop,3113,1030,,GenEval
gen-1766188730-BFijahRcGv56ggGg41mS,2025-12-19 23:58:50.037,0,,,,0.000309,228,65,0,0,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,false,true,,STOP,stop,866,603,,GenEval
gen-1766188727-fk7rJYe2TD9AdCd8kp1l,2025-12-19 23:58:47.368,0,,,,0.001752,1464,340,0,0,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,false,true,,STOP,stop,2556,861,,GenEval
gen-1766188724-gqDgkjtb1KqmeWAxALKu,2025-12-19 23:58:44.842,0,,,,0.001214,1426,167,0,0,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,false,true,,STOP,stop,1624,672,,GenEval
gen-1766188724-Y7gygwWexrUgaVVIbO40,2025-12-19 23:58:44.538,0.000736,,-0.00044,0,0,6131,793,0,4236,z-ai/glm-4.5-air,Novita,standard,false,true,,stop,stop,6927,801,,GenEval
gen-1766188721-CanMoKUxCZOYFweMZj0j,2025-12-19 23:58:41.284,0,,-0.001711,,0.001867,5154,334,0,3803,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,false,true,,STOP,stop,2756,684,,GenEval
