generation_id,created_at,cost_total,cost_web_search,cost_cache,cost_file_processing,byok_usage_inference,tokens_prompt,tokens_completion,tokens_reasoning,tokens_cached,model_permaslug,provider_name,variant,cancelled,streamed,user,finish_reason_raw,finish_reason_normalized,generation_time_ms,time_to_first_token_ms,app_name,api_key_name
gen-1765432053-ot5bD9WZWH6nRoHFgC8e,2025-12-11 05:47:33.861,0,,,,0.000581,129,42,0,0,openai/gpt-5-chat-2025-08-07,OpenAI,standard,false,true,,completed,stop,330,381,,GenEval
gen-1765432052-q7CMn8Su2nWN60Z39QzH,2025-12-11 05:47:32.596,0,,,,0.000791,137,62,0,0,openai/gpt-5-chat-2025-08-07,OpenAI,standard,false,true,,completed,stop,480,391,,GenEval
gen-1765432051-OvvwOCz8dQBYiI9PckNI,2025-12-11 05:47:31.794,0,,,,0.000401,129,24,0,0,openai/gpt-5-chat-2025-08-07,OpenAI,standard,false,true,,completed,stop,126,282,,GenEval
gen-1765432050-KHVCLSaHuOR8FRJ3CZUF,2025-12-11 05:47:30.872,0,,,,0.000482,138,31,0,0,openai/gpt-5-chat-2025-08-07,OpenAI,standard,false,true,,completed,stop,133,363,,GenEval
gen-1765432045-bI5yAn6fGQpLH1OU2I3X,2025-12-11 05:47:25.957,0,,,0,0.002288,586,845,0,0,google/gemini-2.5-flash,Google AI Studio,standard,false,true,,STOP,stop,4225,426,,GenEval
gen-1765432037-qE8PGkUZtn9sPXhwkXlk,2025-12-11 05:47:17.124,0,,,0,0.005138,586,1985,0,0,google/gemini-2.5-flash,Google AI Studio,standard,false,true,,MAX_TOKENS,length,8706,507,,GenEval
gen-1765432028-G1908igYaNSNA7KZ5dNh,2025-12-11 05:47:08.343,0,,,0,0.005153,586,1991,0,0,google/gemini-2.5-flash,Google AI Studio,standard,false,true,,MAX_TOKENS,length,8493,587,,GenEval
gen-1765432022-j54OL3tUs3PwGhijBTGa,2025-12-11 05:47:02.693,0,,,0,0.003176,356,564,0,0,anthropic/claude-4.5-haiku-20251001,Amazon Bedrock,standard,false,true,,stop,stop,4432,1066,,GenEval
gen-1765432018-Lg7gYZt99TKPa8w0Rf6B,2025-12-11 05:46:58.287,0,,,0,0.002351,336,403,0,0,anthropic/claude-4.5-haiku-20251001,Amazon Bedrock,standard,false,true,,stop,stop,2966,1189,,GenEval
gen-1765432013-qkaGNbtJwZuNu8rrr3ks,2025-12-11 05:46:53.989,0,,,0,0.002121,341,356,0,0,anthropic/claude-4.5-haiku-20251001,Amazon Bedrock,standard,false,true,,stop,stop,2636,1323,,GenEval
gen-1765432012-iRVxDYf2LADUtCuPRKdq,2025-12-11 05:46:52.876,0,,,,0.000723,147,54,0,0,openai/gpt-5-chat-2025-08-07,OpenAI,standard,false,true,,completed,stop,361,411,,GenEval
gen-1765432010-DXZetO7GS9tlU31WxP4W,2025-12-11 05:46:50.301,0,,,0,0.001476,321,231,0,0,anthropic/claude-4.5-haiku-20251001,Amazon Bedrock,standard,false,true,,stop,stop,1630,599,,GenEval
gen-1765432009-MhVRMyb7xwTxpOY8ypoP,2025-12-11 05:46:49.291,0,,,,0.000876,293,51,0,0,openai/gpt-5-chat-2025-08-07,OpenAI,standard,false,true,,completed,stop,315,290,,GenEval
gen-1765432005-EqiJcA2CgCM06szcoMHz,2025-12-11 05:46:45.386,0,,,0,0.002191,321,374,0,0,anthropic/claude-4.5-haiku-20251001,Amazon Bedrock,standard,false,true,,stop,stop,3175,627,,GenEval
gen-1765432004-ARq4LEUPhePTZMLdhCjx,2025-12-11 05:46:44.056,0,,,,0.000653,147,47,0,0,openai/gpt-5-chat-2025-08-07,OpenAI,standard,false,true,,completed,stop,546,293,,GenEval
gen-1765432002-bnQmKkbnNlOCvSE4BXgG,2025-12-11 05:46:42.430,0,,,,0.001341,145,116,0,0,openai/gpt-5-chat-2025-08-07,OpenAI,standard,false,true,,completed,stop,889,376,,GenEval
gen-1765431999-3Swxs7HDC3axC7NXg7ht,2025-12-11 05:46:39.857,0,,-0.00018,0,0.000455,704,170,0,669,google/gemini-2.5-flash,Google AI Studio,standard,false,true,,STOP,stop,1882,1157,,GenEval
gen-1765431997-mFhdlOKG1dNWSpw27nHG,2025-12-11 05:46:37.297,0,,-0.00018,0,0.000728,704,279,0,669,google/gemini-2.5-flash,Google AI Studio,standard,false,true,,STOP,stop,2232,885,,GenEval
gen-1765431995-xckGnzldjy81AhTZvdbY,2025-12-11 05:46:35.259,0,,,0,0.000848,704,255,0,0,google/gemini-2.5-flash,Google AI Studio,standard,false,true,,STOP,stop,1787,524,,GenEval
gen-1765431994-bJ5AgI0mpr6tiqCWWv7t,2025-12-11 05:46:34.448,0,,,,0.000552,138,38,0,0,openai/gpt-5-chat-2025-08-07,OpenAI,standard,false,true,,completed,stop,137,368,,GenEval
gen-1765431993-GBgHaDb8sq7oq8Ud8vr9,2025-12-11 05:46:33.017,0,,,0,0.000597,499,179,0,0,google/gemini-2.5-flash,Google AI Studio,standard,false,true,,STOP,stop,1258,616,,GenEval
gen-1765431992-E1O9qVF6ghzggiN3ZE3E,2025-12-11 05:46:32.001,0,,,,0.000552,138,38,0,0,openai/gpt-5-chat-2025-08-07,OpenAI,standard,false,true,,completed,stop,256,401,,GenEval
gen-1765431986-OrucJb8OkdDxeDVGGWMC,2025-12-11 05:46:26.651,0,,,0,0.002577,499,971,0,0,google/gemini-2.5-flash,Google AI Studio,standard,false,true,,STOP,stop,5151,569,,GenEval
gen-1765431985-iNf2A09OEZao8S3bRe74,2025-12-11 05:46:25.640,0,,,,0.000552,138,38,0,0,openai/gpt-5-chat-2025-08-07,OpenAI,standard,false,true,,completed,stop,235,427,,GenEval
gen-1765431984-jx6MgObZHaDybodnDNHv,2025-12-11 05:46:24.294,0,,,0,0.000587,499,175,0,0,google/gemini-2.5-flash,Google AI Studio,standard,false,true,,STOP,stop,1211,542,,GenEval
gen-1765431982-t4efiKeKacIE4zD6Bvx1,2025-12-11 05:46:22.979,0,,,,0.000772,138,60,0,0,openai/gpt-5-chat-2025-08-07,OpenAI,standard,false,true,,completed,stop,447,462,,GenEval
gen-1765431976-qyOweTI0fEcUE2G9QRPV,2025-12-11 05:46:16.859,0,,,0,0.0028,435,1068,0,0,google/gemini-2.5-flash,Google AI Studio,standard,false,true,,STOP,stop,5820,655,,GenEval
gen-1765431966-VjCmXQO8kGVw9ZWOA4Vt,2025-12-11 05:46:06.289,0,,,0,0.005093,435,1985,0,0,google/gemini-2.5-flash,Google AI Studio,standard,false,true,,MAX_TOKENS,length,10430,1525,,GenEval
gen-1765431958-fdJPGdKQOo03q74yTH0n,2025-12-11 05:45:58.062,0,,,0,0.005098,435,1987,0,0,google/gemini-2.5-flash,Google AI Studio,standard,false,true,,MAX_TOKENS,length,8072,601,,GenEval
gen-1765431955-HblytL2XskNaLdQHbojT,2025-12-11 05:45:55.001,0,,,0,0.001609,414,239,0,0,anthropic/claude-4.5-haiku-20251001,Amazon Bedrock,standard,false,true,,stop,stop,2241,742,,GenEval
gen-1765431952-4WP9C2rJDaccdCoUJXQ2,2025-12-11 05:45:52.033,0,,,0,0.001946,441,301,0,0,anthropic/claude-4.5-haiku-20251001,Amazon Bedrock,standard,false,true,,stop,stop,1936,783,,GenEval
